variant_id,architecture,predict_n,test_loss,test_seq_acc,best_eval_loss,best_eval_loss_epoch,total_epochs,model_params,data_seed,model_seed,run_timestamp
baseline_rnn,rnn,1,13.935596823692322,0.0,9.244865560531617,1,20,4081170,42,99,2026-04-14T17:05:10.646266
variant_a_rnn,rnn,2,13.538358759880065,0.0,9.233738708496094,1,20,6651684,42,99,2026-04-14T17:10:51.820765
variant_b_rnn,rnn,3,13.49303879737854,0.0,9.228883957862854,1,20,9222198,42,99,2026-04-14T17:13:45.061341
baseline_lstm,lstm,1,14.523136019706726,0.0001,9.212900710105895,1,20,4772370,42,99,2026-04-14T17:14:38.629814
variant_a_lstm,lstm,2,13.911640119552612,0.0,9.213587212562562,1,20,7342884,42,99,2026-04-14T17:17:22.776880
variant_b_lstm,lstm,3,13.52307894229889,0.0,9.212972688674927,1,20,9913398,42,99,2026-04-14T17:18:36.631360
